Track Name,Track ID,Duration (ms),Track Popularity,Track Number,URI,Album Name,Album ID,Artist Name,Track GQ,Artist ID,Artist Popularity,Followers,Genres,Artist GQ
뜨거운 안녕 Burning Goodbye,2zrK1KGLHpX5vKE7dPY7p1,223426,11,7,spotify:track:2zrK1KGLHpX5vKE7dPY7p1,OK 목장의 젖소 Milk Cattle at the OK Corral,2ohRyGLhnzSVe1ajSigoWf,CRYING NUT,korean punk,0jg8QQ5BExafoPBy7ZyA5t,28,17208,k-indie,korean punk
Lonesome Petals Came Together To Become A Butterfly,3XR6rDw32x5HqoEN87c4Vx,264933,9,1,spotify:track:3XR6rDw32x5HqoEN87c4Vx,Lonesome Petals Came Together To Become A Butterfly,1eDjdJnEnNHEId7MYeQZrB,CRYING NUT,korean punk,0jg8QQ5BExafoPBy7ZyA5t,28,17208,k-indie,korean punk
Speed Up Losers - 25th Anniversary Version,5shGjesP0bcFBjvxsHP2yT,182986,15,2,spotify:track:5shGjesP0bcFBjvxsHP2yT,CRYING NUT 25th Anniversary Best Album,3LCvmUeoynudUbGfTCPkko,CRYING NUT,korean punk,0jg8QQ5BExafoPBy7ZyA5t,28,17208,k-indie,korean punk
신기한 노래 Funny Song,0fhzRtWXUQa8XeCHWKqIrk,168133,9,2,spotify:track:0fhzRtWXUQa8XeCHWKqIrk,서커스 매직 유랑단 Circus Magic Clowns,3IcCMyt1uE97C130L1vPc3,CRYING NUT,korean punk,0jg8QQ5BExafoPBy7ZyA5t,28,17208,k-indie,korean punk
순이 우주로 Soony Heading to the Cosmos,2Qtsh8stuEarNyfyYZJJxG,258146,12,12,spotify:track:2Qtsh8stuEarNyfyYZJJxG,OK 목장의 젖소 Milk Cattle at the OK Corral,2ohRyGLhnzSVe1ajSigoWf,CRYING NUT,korean punk,0jg8QQ5BExafoPBy7ZyA5t,28,17208,k-indie,korean punk
Hero,5UYwBzjTFzXt2OBdDKDh0b,211306,19,1,spotify:track:5UYwBzjTFzXt2OBdDKDh0b,The First Responders2 (Original Soundtrack) Part.3,6e7H9HmEOuZvYqQFvoYNYD,CRYING NUT,korean punk,0jg8QQ5BExafoPBy7ZyA5t,28,17208,k-indie,korean punk
Love Always Run Away,4rMEoXVYww6Xy7q9wSj4gy,242760,54,1,spotify:track:4rMEoXVYww6Xy7q9wSj4gy,Young Lady And Gentleman (Original Television Soundtrack) Pt.2,64RvabOhN0MJ6hCvgjkmnC,Lim Young Woong,trot,75MOYjGEyyH5U4ZFHOPvxR,63,95828,trot,trot
Warmth,3vnaEaDxMKdBhqA1t0uAwl,235053,65,2,spotify:track:3vnaEaDxMKdBhqA1t0uAwl,Warmth,700oyQvND1pNIADYqOkrre,Lim Young Woong,trot,75MOYjGEyyH5U4ZFHOPvxR,63,95828,trot,trot
Do or Die,21ewxM3YvcdTj7cC0XwznO,205440,62,1,spotify:track:21ewxM3YvcdTj7cC0XwznO,Do or Die,0vZCxyaV5c4lcHqds3xfts,Lim Young Woong,trot,75MOYjGEyyH5U4ZFHOPvxR,63,95828,trot,trot
Home,2PlsVMcOn6ujc2UEYs2Yat,235333,65,1,spotify:track:2PlsVMcOn6ujc2UEYs2Yat,Warmth,700oyQvND1pNIADYqOkrre,Lim Young Woong,trot,75MOYjGEyyH5U4ZFHOPvxR,63,95828,trot,trot
